"Unidade da Federacao";"obitos_por_ocorrencia"
"11 Rondônia";103
"12 Acre";56
"13 Amazonas";192
"14 Roraima";55
"15 Pará";276
"16 Amapá";36
"17 Tocantins";95
"21 Maranhão";289
"22 Piauí";319
"23 Ceará";530
"24 Rio Grande do Norte";177
"25 Paraíba";178
"26 Pernambuco";347
"27 Alagoas";111
"28 Sergipe";113
"29 Bahia";404
"31 Minas Gerais";1252
"32 Espírito Santo";163
"33 Rio de Janeiro";311
"35 São Paulo";1952
"41 Paraná";764
"42 Santa Catarina";665
"43 Rio Grande do Sul";1166
"50 Mato Grosso do Sul";223
"51 Mato Grosso";174
"52 Goiás";467
"53 Distrito Federal";157
"Total";10575
